"job_id","job_title","salary_usd","salary_currency","experience_level","employment_type","company_location","company_size","employee_residence","remote_ratio","required_skills","education_required","years_experience","industry","posting_date","application_deadline","job_description_length","benefits_score","company_name"
"AI00022","Autonomous Systems Engineer","102550","USD","MI","PT","United States","M","United States","0","Tableau, Spark, NLP, TensorFlow, PyTorch","Bachelor","2","Automotive","2024-04-23","2024-06-23","625","10.0","Cognitive Computing"
"AI00041","Data Scientist","96956","USD","MI","FT","United States","M","China","0","Data Visualization, Azure, Spark, MLOps","Bachelor","2","Telecommunications","2024-02-24","2024-03-09","761","5.3","DataVision Ltd"
"AI00042","AI Architect","196954","USD","SE","FL","United States","L","United States","50","Java, Mathematics, SQL","Bachelor","8","Finance","2025-03-17","2025-04-16","2290","7.5","DataVision Ltd"
"AI00046","AI Research Scientist","174663","USD","SE","CT","United States","M","Singapore","50","Data Visualization, Statistics, R","Associate","7","Media","2024-01-10","2024-03-22","1151","5.4","DeepTech Ventures"
"AI00053","Research Scientist","106579","USD","MI","PT","United States","S","United States","100","Docker, Tableau, Mathematics","Associate","3","Gaming","2024-02-24","2024-05-02","2028","5.4","Cognitive Computing"
"AI00080","AI Research Scientist","284486","USD","EX","CT","United States","M","United States","0","PyTorch, Linux, SQL","Master","12","Consulting","2025-02-13","2025-03-10","2231","7.0","TechCorp Inc"
"AI00088","AI Specialist","69914","USD","EN","FT","United States","S","United States","100","R, NLP, SQL, GCP","Associate","0","Transportation","2025-02-15","2025-04-15","1517","7.0","Smart Analytics"
"AI00094","AI Research Scientist","111528","USD","MI","FL","United States","L","United States","0","Java, Hadoop, Mathematics","PhD","3","Real Estate","2024-03-01","2024-05-08","1299","9.5","Predictive Systems"
"AI00100","AI Research Scientist","195691","USD","SE","CT","United States","L","United States","0","AWS, Kubernetes, Docker, Mathematics, MLOps","PhD","8","Transportation","2024-04-20","2024-06-22","916","8.7","Advanced Robotics"
"AI00111","Machine Learning Researcher","205357","USD","EX","PT","United States","S","United States","100","Computer Vision, Hadoop, Git, AWS","Bachelor","18","Education","2024-03-08","2024-05-13","1646","6.6","Predictive Systems"
"AI00116","NLP Engineer","61055","USD","EN","FL","United States","M","Ireland","100","R, AWS, Computer Vision, Statistics, Docker","Bachelor","0","Retail","2024-06-04","2024-07-16","1891","6.9","Autonomous Tech"
"AI00150","AI Specialist","115841","USD","SE","FL","United States","S","United States","0","TensorFlow, Kubernetes, Deep Learning","PhD","7","Healthcare","2024-10-25","2024-12-11","1446","7.2","Quantum Computing Inc"
"AI00165","ML Ops Engineer","170139","USD","SE","PT","United States","L","Denmark","50","Python, Spark, Hadoop","Bachelor","5","Technology","2025-01-30","2025-03-27","578","9.6","Future Systems"
"AI00188","AI Specialist","98422","USD","EN","PT","United States","L","United States","0","Java, Python, Mathematics","PhD","0","Transportation","2024-05-23","2024-07-07","673","9.4","Cloud AI Solutions"
"AI00200","AI Product Manager","180252","USD","SE","FT","United States","L","United States","50","TensorFlow, Kubernetes, SQL, Linux, Mathematics","Master","7","Telecommunications","2024-02-14","2024-04-07","1711","6.3","Future Systems"
"AI00227","AI Product Manager","159643","USD","SE","PT","United States","S","United States","100","Data Visualization, Linux, GCP, Hadoop","Master","5","Gaming","2024-01-27","2024-03-03","951","5.3","Digital Transformation LLC"
"AI00234","AI Research Scientist","173839","USD","SE","FL","United States","M","United States","100","TensorFlow, Azure, Tableau, Data Visualization, Hadoop","Bachelor","5","Government","2025-02-04","2025-03-26","2409","5.1","Neural Networks Co"
"AI00241","Research Scientist","120749","USD","MI","FL","United States","M","Netherlands","50","TensorFlow, MLOps, Kubernetes, SQL, Java","Associate","2","Retail","2024-07-01","2024-08-30","1860","6.5","Cognitive Computing"
